Epoch,train_loss,val_loss
1,0.008071467,0.007364581
2,0.007227522,0.006933275
3,0.0070212143,0.0068304366
4,0.006907478,0.006917927
5,0.006845192,0.006792988
6,0.0068170642,0.0066967746
7,0.0067793685,0.006672313
8,0.0067702183,0.0066725123
9,0.006748907,0.0066349413
10,0.0067157,0.006877431
11,0.0067058983,0.0065771923
12,0.0067016096,0.0065857023
13,0.0066919844,0.006602524
14,0.006682625,0.0065607526
15,0.006639948,0.0066439593
16,0.0066537163,0.006522826
17,0.006621732,0.0065581757
18,0.0066281212,0.006619056
19,0.0066140387,0.006701699
20,0.0066160616,0.0064896257
21,0.0066057425,0.0064875507
22,0.0065942556,0.0065934067
23,0.0065844823,0.0065195695
24,0.006563269,0.0064806645
25,0.0065592118,0.0066090454
26,0.006560794,0.0065171868
27,0.00655417,0.0067732367
28,0.0065533794,0.0065107113
29,0.0065461462,0.006520261
30,0.0065455195,0.006447011
31,0.006518671,0.0065039154
32,0.006508774,0.006473003
33,0.0065097515,0.006471994
34,0.006510389,0.0065621627
35,0.006501672,0.0064417464
36,0.0064973915,0.0064386628
37,0.0065005594,0.0064347927
38,0.0064867237,0.006423306
39,0.006473754,0.006483296
40,0.006490239,0.0064574378
41,0.006478581,0.0065807533
42,0.0064872154,0.0064769606
43,0.0064665345,0.006452969
44,0.006466192,0.006425572
45,0.006457795,0.006387061
46,0.00646209,0.0064617335
47,0.006447075,0.0064307614
48,0.006448639,0.0064258524
49,0.006460329,0.0064239255
50,0.0064559137,0.0064925635
51,0.0064458665,0.0063883625
52,0.006440287,0.0065134685
53,0.0064379144,0.0063909846
54,0.0064355894,0.0063721365
55,0.006431009,0.0063922335
56,0.00644374,0.0064344415
57,0.00642677,0.0064526573
58,0.00643045,0.0063533224
59,0.0064222286,0.0063642734
60,0.006427275,0.0064240308
61,0.006412967,0.0063693277
62,0.006416809,0.006400187
63,0.0064176843,0.00638909
64,0.0064157126,0.006458639
65,0.0064021223,0.006359551
66,0.0064042103,0.0063875006
67,0.0064015556,0.0063737854
68,0.00640709,0.0063443454
69,0.0063915416,0.0064491946
70,0.006392141,0.0063917595
71,0.0064147767,0.0063340394
72,0.0063947802,0.0064265216
73,0.006399164,0.006322493
74,0.0063970545,0.0063712993
75,0.0063911844,0.0063462295
76,0.0063859075,0.0063229897
77,0.006375739,0.0063287118
78,0.0063890796,0.0063317646
79,0.0063816174,0.0063409656
80,0.006377191,0.0063866996
81,0.006383858,0.0063570077
82,0.006363953,0.0063844435
83,0.0063794176,0.006328286
84,0.0063726907,0.006337724
85,0.00635729,0.006354034
86,0.0063722273,0.0063212533
87,0.0063559925,0.006371137
88,0.0063714567,0.0063471724
89,0.006369821,0.0064722034
90,0.0063637067,0.006308737
91,0.006380087,0.0063139577
92,0.00635385,0.00637342
93,0.006362959,0.0063401624
94,0.00635998,0.0063574268
