Epoch,train_loss,val_loss
1,0.03059463,0.011340425
2,0.012884135,0.008159599
3,0.009666305,0.0068641105
4,0.008421717,0.006843459
5,0.007811025,0.006653401
6,0.0074073756,0.006216769
7,0.007095978,0.006046933
8,0.006857541,0.0061668176
9,0.0066569275,0.00581025
10,0.006634243,0.005937611
11,0.006387459,0.0057592844
12,0.0062189344,0.005583724
13,0.006182452,0.0057734638
14,0.0060717585,0.0056676427
15,0.0059159575,0.0054132375
16,0.0059034512,0.0061796242
17,0.0057319687,0.00544316
18,0.0056436467,0.0054320865
19,0.0056605064,0.0056473217
20,0.0056291097,0.005770681
21,0.0055605974,0.0056709177
22,0.0054403455,0.0051512104
23,0.0053534517,0.005510124
24,0.0053438423,0.0060111415
25,0.0052690483,0.0050661084
26,0.0052518076,0.0049548247
27,0.00514361,0.005119368
28,0.0050800997,0.005041154
29,0.0051266807,0.0050819637
30,0.0049969857,0.0051056687
31,0.0048720143,0.0049054213
32,0.004828373,0.0050339736
33,0.0048014587,0.0049320324
34,0.004767824,0.004805663
35,0.0046395855,0.0048177415
36,0.004591037,0.0047698156
37,0.0045551695,0.0047822506
38,0.004458576,0.004713747
39,0.0044816267,0.005218519
40,0.0044321413,0.00465998
41,0.0042909384,0.004593915
42,0.0042489613,0.0047098584
43,0.0043195323,0.0051342575
44,0.0042069354,0.0045289425
45,0.0041657435,0.004690079
46,0.004137637,0.004480419
47,0.0041114953,0.004595228
48,0.0040841503,0.0048339018
49,0.004014046,0.0044567203
50,0.0039773444,0.004400775
51,0.003907382,0.00438958
52,0.0038757366,0.004507225
53,0.003887088,0.0043913582
54,0.003842814,0.0043340824
55,0.0038252615,0.0045799385
56,0.0037758015,0.0045529893
57,0.0037451505,0.0043440172
58,0.0037424837,0.0046873135
59,0.0037134143,0.0043150773
60,0.0036911308,0.0043855594
61,0.0036580395,0.0042750086
62,0.003659435,0.0046084514
63,0.0036448461,0.004386042
64,0.0036483617,0.0042360155
65,0.003545715,0.0042431247
66,0.003552727,0.0041757207
67,0.0035040446,0.004683024
68,0.003513174,0.004209839
69,0.003526241,0.004271985
70,0.0034620666,0.004166966
71,0.0034492984,0.0046151564
72,0.0034176665,0.0042639226
73,0.0034522864,0.0042622676
74,0.0033776318,0.0042000543
75,0.0033764334,0.004041766
76,0.0034024115,0.004052721
77,0.003379967,0.004086755
78,0.003382502,0.0041660992
79,0.0033583085,0.004160297
80,0.0033317667,0.0040006563
81,0.0033337919,0.0041436856
82,0.0032664516,0.003949278
83,0.0033103414,0.0039872876
84,0.0032834136,0.004068891
85,0.003279322,0.0041034776
86,0.0032123076,0.0040414715
87,0.0032257098,0.0040010964
88,0.003213055,0.0039552134
89,0.0032198504,0.004171213
90,0.003188019,0.003874604
91,0.0031773467,0.004119334
92,0.003200111,0.0041236733
93,0.0031441585,0.004076303
94,0.003118941,0.004177101
95,0.003127916,0.004035247
96,0.0031092172,0.0038962783
97,0.0031043808,0.0039436864
98,0.0031061363,0.0040412676
99,0.0030380087,0.0039671697
100,0.003037775,0.0044091046
101,0.0030466109,0.00385578
102,0.003045067,0.0042820107
103,0.0030349512,0.003806131
104,0.0029671798,0.0038876964
105,0.0029818655,0.003956269
106,0.0029650151,0.003816117
107,0.002974952,0.0038625244
108,0.0029419751,0.003983549
109,0.0029470737,0.0039189598
110,0.0028783525,0.0038421394
111,0.002936463,0.0038547437
112,0.002930446,0.004209164
113,0.0028777947,0.003904086
114,0.002888425,0.003901867
115,0.0028501395,0.003861991
116,0.002904716,0.003897683
117,0.0028437527,0.0044999826
118,0.002817376,0.0038632804
119,0.0028486864,0.0038286033
120,0.0027905132,0.0037903532
121,0.00279057,0.0038616306
122,0.002770156,0.0039331415
123,0.0027765434,0.0038647058
124,0.0027845472,0.0037175152
125,0.0027444782,0.0038068697
126,0.0027363251,0.0038699172
127,0.0027301076,0.0039571677
128,0.0027154577,0.0037205103
129,0.0027346932,0.003916528
130,0.0027004,0.0036452257
131,0.0026902745,0.0036450843
132,0.0026937146,0.003651526
133,0.0026649297,0.003681491
134,0.0026275667,0.0036547075
135,0.0026092224,0.003901656
136,0.0026084492,0.0037126408
137,0.002593773,0.0036806248
138,0.0025690983,0.0036747763
139,0.0025615478,0.0036025855
140,0.0025846525,0.0036196832
141,0.0025822788,0.0035609433
142,0.00255235,0.0036450638
143,0.0025636042,0.0036186636
144,0.0025320707,0.0036958999
145,0.0025616363,0.003643336
146,0.0025078456,0.0035634867
147,0.002517568,0.0037021819
148,0.0024583696,0.0034773732
149,0.0024962141,0.0036581513
150,0.0024744673,0.0035408735
151,0.002466761,0.003487329
152,0.0024396633,0.0036742592
153,0.0024309505,0.0036576835
154,0.002452567,0.003579286
155,0.0023944858,0.003548772
156,0.0023890631,0.003513215
157,0.002375545,0.0034876966
158,0.0023821404,0.0035974297
159,0.002370871,0.0036544085
160,0.0024013245,0.0035156687
161,0.0023681012,0.0035001244
162,0.002351835,0.0035108794
163,0.0023341873,0.0035980823
164,0.0022979714,0.003403528
165,0.0023209883,0.0034036958
166,0.0023008187,0.003451869
167,0.0023090397,0.003525132
168,0.0023081745,0.0034784046
169,0.0022944051,0.003433975
170,0.0022992138,0.0034296368
171,0.0022730646,0.003430027
172,0.0022568523,0.003495247
173,0.0022797869,0.0034889823
174,0.0022533173,0.0033985958
175,0.0022233936,0.0033610028
176,0.0022028747,0.0034882396
177,0.0022326019,0.0033912975
178,0.0022034328,0.0033518008
179,0.002233291,0.0039004954
180,0.0021848727,0.0035500943
181,0.0021981704,0.0033826316
182,0.0021829961,0.0034600701
183,0.002180893,0.0033428408
184,0.002193678,0.003490848
185,0.002176987,0.0033647171
186,0.0022193477,0.0036695756
187,0.0021621552,0.0033203876
188,0.0021320386,0.003611632
189,0.0021645532,0.003913808
190,0.002138618,0.0034083345
191,0.0021127136,0.0033802448
192,0.0020725413,0.0033459961
193,0.002110553,0.0032598902
194,0.0020950679,0.0033290416
195,0.0021152184,0.003375242
196,0.002079658,0.0034170742
197,0.002073003,0.0032388864
198,0.0020736752,0.0035135113
199,0.0020528417,0.003375406
200,0.0020816703,0.0032747907
201,0.00204333,0.0034274866
202,0.0020486051,0.0033614992
203,0.0020221735,0.0037118234
204,0.002007861,0.003262018
205,0.002017632,0.0032810043
206,0.0020016935,0.00332496
207,0.0020095715,0.003261449
208,0.002015185,0.0032200073
209,0.002015566,0.003417384
210,0.0019856421,0.003319165
211,0.0019634715,0.0032023643
212,0.0019605858,0.0032017834
213,0.0019962806,0.0033161428
214,0.0019742672,0.0032427446
215,0.0019610438,0.0031480584
216,0.0019486034,0.0031828904
217,0.0019433288,0.003179419
218,0.0019547597,0.003341354
219,0.0019446836,0.00326544
220,0.0019098385,0.0033552905
221,0.0019277831,0.0033332931
222,0.0019394333,0.0031733427
223,0.0019295181,0.0031534238
224,0.0019315463,0.003179086
225,0.0018851937,0.0031850447
226,0.0019486622,0.0032681879
227,0.0018848476,0.003269041
228,0.0018675086,0.0031441932
229,0.0018773816,0.00314145
230,0.0019219693,0.0033757358
231,0.0018714978,0.0030785117
232,0.001870664,0.0031103238
233,0.0018667448,0.0032238073
234,0.0018515621,0.0030611046
235,0.0018499999,0.0031627761
236,0.0018404098,0.0031491013
237,0.0018490602,0.0032544888
238,0.0018355598,0.003179279
239,0.0018543229,0.0031324604
240,0.0018200793,0.0030925043
241,0.0018234116,0.0031278078
242,0.0018250128,0.0031792084
243,0.0018237315,0.0030954303
244,0.0018314702,0.0031654765
245,0.0017904303,0.003090776
246,0.0017709734,0.0032677422
247,0.0017809352,0.003086068
248,0.00175565,0.0030696911
249,0.0017560621,0.0030509592
250,0.001772118,0.0030718043
251,0.0017909453,0.0030742998
252,0.001785246,0.0030238454
253,0.0017851975,0.0037351584
254,0.0017792917,0.0030437086
255,0.0017485791,0.0030541671
256,0.0017606346,0.0030526945
257,0.0017596273,0.0030040573
258,0.0017439214,0.0030586678
259,0.0017259733,0.0029970794
260,0.0017431466,0.003072077
261,0.0017223707,0.002969296
262,0.0017160416,0.003113545
263,0.0017262455,0.0030942212
264,0.0017239169,0.003118828
265,0.0017065121,0.0032639862
